p,n,total_time,comp_time,comm_time,overhead,cost
32,6,0.5235,0.0020,0.5007,0.0208,1125
32,6,0.5303,0.0020,0.4780,0.0503,1292
32,6,0.5247,0.0020,0.4716,0.0511,1318
32,6,0.5237,0.0018,0.4772,0.0447,1102
32,6,0.5185,0.0020,0.4654,0.0511,1479
32,6,0.5167,0.0019,0.4637,0.0510,1270
32,6,0.5182,0.0022,0.4615,0.0545,1241
32,6,0.5224,0.0021,0.4842,0.0362,912
32,6,0.5240,0.0020,0.5149,0.0072,1109
32,6,0.5206,0.0020,0.5115,0.0071,1248
32,6,0.5192,0.0019,0.5010,0.0163,1060
32,6,0.5190,0.0023,0.4753,0.0414,1258
32,6,0.5250,0.0023,0.5165,0.0062,1559
32,6,0.5123,0.0022,0.4888,0.0212,1196
32,6,0.5143,0.0022,0.4999,0.0122,713
32,6,0.5318,0.0025,0.4787,0.0505,1430
32,6,0.5218,0.0018,0.5129,0.0071,1076
32,6,0.5305,0.0021,0.5260,0.0024,929
32,6,0.5315,0.0020,0.5171,0.0124,1242
32,6,0.5309,0.0021,0.4875,0.0413,1698
2,8,0.0190,0.0181,0.0010,-0.0001,1196
2,8,0.0148,0.0140,0.0007,0.0001,960
2,8,0.0428,0.0267,0.0236,-0.0075,1220
2,8,0.0273,0.0220,0.0085,-0.0031,1223
2,8,0.0269,0.0257,0.0009,0.0003,1250
2,8,0.0058,0.0054,0.0004,-0.0000,800
2,8,0.0204,0.0193,0.0011,0.0000,1204
2,8,0.0349,0.0237,0.0176,-0.0064,1282
2,8,0.0176,0.0166,0.0010,-0.0000,1038
2,8,0.0288,0.0233,0.0095,-0.0040,1391
2,8,0.0238,0.0224,0.0017,-0.0004,1269
2,8,0.0285,0.0223,0.0096,-0.0035,1037
2,8,0.0237,0.0177,0.0081,-0.0022,1083
2,8,0.0156,0.0148,0.0008,-0.0000,851
2,8,0.0306,0.0205,0.0151,-0.0050,1009
2,8,0.0320,0.0217,0.0159,-0.0056,1110
2,8,0.0112,0.0107,0.0005,0.0001,806
2,8,0.0147,0.0092,0.0074,-0.0019,1027
2,8,0.0163,0.0155,0.0006,0.0002,1019
2,8,0.0089,0.0083,0.0013,-0.0007,913
2,8,0.0086,0.0081,0.0004,0.0000,657
2,8,0.0050,0.0046,0.0004,-0.0000,778
2,8,0.0120,0.0114,0.0005,0.0001,782
2,8,0.0137,0.0129,0.0005,0.0002,637
2,8,0.0300,0.0234,0.0096,-0.0031,1351
2,8,0.0172,0.0164,0.0006,0.0002,981
2,8,0.0165,0.0109,0.0110,-0.0053,902
2,8,0.0079,0.0074,0.0004,0.0000,737
2,8,0.0128,0.0121,0.0005,0.0002,793
2,8,0.0482,0.0411,0.0076,-0.0006,1314
4,8,0.0484,0.0133,0.0419,-0.0069,1042
4,8,0.0271,0.0076,0.0222,-0.0027,868
4,8,0.0574,0.0128,0.0510,-0.0065,898
4,8,0.0516,0.0127,0.0453,-0.0064,761
4,8,0.0714,0.0174,0.0606,-0.0066,1191
4,8,0.0732,0.0177,0.0643,-0.0088,1182
4,8,0.1048,0.0241,0.0922,-0.0115,1401
4,8,0.0830,0.0196,0.0714,-0.0080,1146
4,8,0.0328,0.0081,0.0284,-0.0037,693
4,8,0.0485,0.0133,0.0394,-0.0042,874
4,8,0.0372,0.0122,0.0273,-0.0023,1265
4,8,0.0215,0.0067,0.0160,-0.0012,794
4,8,0.1813,0.0383,0.1605,-0.0175,1259
4,8,0.0599,0.0143,0.0535,-0.0078,861
4,8,0.1422,0.0304,0.1241,-0.0123,1317
4,8,0.0439,0.0094,0.0395,-0.0050,828
4,8,0.1095,0.0252,0.0941,-0.0099,1337
4,8,0.0523,0.0131,0.0454,-0.0063,932
4,8,0.0830,0.0189,0.0722,-0.0081,901
4,8,0.0372,0.0127,0.0277,-0.0031,1019
4,8,0.0949,0.0210,0.0848,-0.0109,1032
4,8,0.0488,0.0140,0.0394,-0.0046,801
4,8,0.1251,0.0255,0.1130,-0.0135,1542
4,8,0.1177,0.0244,0.1047,-0.0114,1181
4,8,0.0815,0.0173,0.0728,-0.0086,910
4,8,0.0380,0.0088,0.0342,-0.0050,836
4,8,0.0534,0.0139,0.0454,-0.0059,933
4,8,0.0890,0.0195,0.0780,-0.0085,1093
4,8,0.0157,0.0068,0.0130,-0.0041,512
4,8,0.0605,0.0163,0.0512,-0.0069,913
6,8,0.1134,0.0122,0.1033,-0.0021,847
6,8,0.1941,0.0212,0.1767,-0.0038,784
6,8,0.1464,0.0170,0.1333,-0.0039,1121
6,8,0.1959,0.0211,0.1745,0.0004,1058
6,8,0.2752,0.0302,0.2496,-0.0046,1126
6,8,0.0948,0.0100,0.0800,0.0048,787
6,8,0.1193,0.0135,0.1083,-0.0025,816
6,8,0.2720,0.0295,0.2444,-0.0018,1588
6,8,0.1522,0.0178,0.1388,-0.0043,905
6,8,0.0619,0.0066,0.0571,-0.0019,896
6,8,0.1196,0.0137,0.1091,-0.0032,949
6,8,0.0788,0.0080,0.0725,-0.0017,697
6,8,0.2714,0.0295,0.2452,-0.0033,1242
6,8,0.1198,0.0132,0.1089,-0.0024,942
6,8,0.1196,0.0128,0.1085,-0.0017,828
6,8,0.1379,0.0149,0.1248,-0.0019,936
6,8,0.2000,0.0218,0.1818,-0.0036,1236
6,8,0.0616,0.0062,0.0566,-0.0012,549
6,8,0.2177,0.0237,0.1950,-0.0010,1324
6,8,0.2382,0.0253,0.2111,0.0017,1197
6,8,0.1150,0.0144,0.1042,-0.0036,1005
6,8,0.1127,0.0112,0.0982,0.0033,775
6,8,0.0549,0.0057,0.0509,-0.0016,528
6,8,0.1201,0.0130,0.1084,-0.0012,871
6,8,0.1077,0.0114,0.0936,0.0027,665
6,8,0.1181,0.0126,0.1027,0.0028,1095
6,8,0.1308,0.0142,0.1120,0.0047,1293
6,8,0.2517,0.0281,0.2277,-0.0041,1519
6,8,0.1686,0.0192,0.1532,-0.0037,1038
6,8,0.1030,0.0106,0.0930,-0.0006,698
8,8,0.2658,0.0232,0.2332,0.0093,1494
8,8,0.2349,0.0216,0.2053,0.0081,1503
8,8,0.1134,0.0092,0.0967,0.0075,990
8,8,0.1790,0.0167,0.1585,0.0038,1143
8,8,0.2619,0.0229,0.2367,0.0024,1021
8,8,0.3623,0.0325,0.3182,0.0116,1241
8,8,0.2988,0.0268,0.2661,0.0059,1390
8,8,0.3748,0.0330,0.3388,0.0030,801
8,8,0.1296,0.0111,0.1148,0.0036,826
8,8,0.3789,0.0344,0.3334,0.0111,1629
8,8,0.1181,0.0099,0.0993,0.0089,717
8,8,0.1948,0.0184,0.1737,0.0027,902
8,8,0.1449,0.0138,0.1237,0.0074,887
8,8,0.2481,0.0216,0.2176,0.0089,843
8,8,0.4548,0.0411,0.4186,-0.0049,1326
8,8,0.1413,0.0118,0.1203,0.0092,769
8,8,0.2359,0.0210,0.2103,0.0046,1127
8,8,0.1923,0.0175,0.1655,0.0093,1473
8,8,0.3182,0.0283,0.2878,0.0021,1486
8,8,0.3042,0.0264,0.2652,0.0126,1027
8,8,0.2320,0.0210,0.1992,0.0118,1011
8,8,0.1769,0.0168,0.1565,0.0036,1226
8,8,0.1581,0.0142,0.1358,0.0081,869
8,8,0.2368,0.0218,0.2112,0.0038,886
8,8,0.1487,0.0139,0.1277,0.0071,992
8,8,0.4644,0.0425,0.4152,0.0067,1076
8,8,0.2846,0.0260,0.2504,0.0083,1043
8,8,0.3385,0.0301,0.3056,0.0028,1137
8,8,0.2075,0.0179,0.1881,0.0015,1048
8,8,0.1928,0.0180,0.1675,0.0074,897
10,8,0.1977,0.0139,0.1777,0.0061,933
10,8,0.4401,0.0333,0.3977,0.0092,1297
10,8,0.3073,0.0240,0.2740,0.0093,1154
10,8,0.2004,0.0151,0.1752,0.0101,897
10,8,0.1205,0.0074,0.1075,0.0056,602
10,8,0.1336,0.0097,0.1233,0.0007,1016
10,8,0.1865,0.0141,0.1662,0.0062,907
10,8,0.1782,0.0130,0.1624,0.0028,688
10,8,0.2537,0.0194,0.2274,0.0069,1181
10,8,0.2164,0.0164,0.1930,0.0070,701
10,8,0.2690,0.0202,0.2376,0.0113,1475
10,8,0.2079,0.0153,0.1850,0.0076,1194
10,8,0.2278,0.0172,0.2082,0.0025,1160
10,8,0.2226,0.0167,0.2009,0.0049,1193
10,8,0.2799,0.0222,0.2566,0.0011,1007
10,8,0.2894,0.0229,0.2585,0.0080,1133
10,8,0.2723,0.0210,0.2560,-0.0047,835
10,8,0.3313,0.0271,0.2996,0.0046,1237
10,8,0.3137,0.0243,0.2756,0.0138,1041
10,8,0.3431,0.0268,0.3004,0.0159,1157
10,8,0.4510,0.0346,0.4012,0.0152,1442
10,8,0.1664,0.0121,0.1441,0.0102,731
10,8,0.2371,0.0184,0.2100,0.0088,1100
10,8,0.2387,0.0183,0.2188,0.0016,1373
10,8,0.3634,0.0286,0.3352,-0.0003,1228
10,8,0.1260,0.0080,0.1081,0.0098,651
10,8,0.2499,0.0200,0.2169,0.0130,1042
10,8,0.1490,0.0102,0.1281,0.0106,949
10,8,0.1915,0.0145,0.1747,0.0023,1059
10,8,0.2820,0.0226,0.2459,0.0135,1263
12,8,0.3119,0.0207,0.2847,0.0065,1118
12,8,0.1413,0.0080,0.1269,0.0063,789
12,8,0.2509,0.0161,0.2228,0.0120,827
12,8,0.1531,0.0093,0.1406,0.0031,791
12,8,0.2270,0.0148,0.2074,0.0048,863
12,8,0.2817,0.0195,0.2593,0.0028,902
12,8,0.4047,0.0274,0.3594,0.0180,949
12,8,0.2464,0.0166,0.2197,0.0102,891
12,8,0.3674,0.0255,0.3250,0.0169,1335
12,8,0.1376,0.0074,0.1198,0.0104,711
12,8,0.1432,0.0081,0.1263,0.0089,782
12,8,0.2554,0.0175,0.2275,0.0103,1175
12,8,0.3354,0.0236,0.3065,0.0053,1077
12,8,0.3152,0.0210,0.2814,0.0129,1079
12,8,0.2597,0.0175,0.2313,0.0109,930
12,8,0.3516,0.0235,0.3150,0.0130,1258
12,8,0.3469,0.0243,0.3137,0.0089,1323
12,8,0.1592,0.0110,0.1443,0.0039,987
12,8,0.3365,0.0236,0.3080,0.0049,934
12,8,0.3105,0.0215,0.2857,0.0033,676
12,8,0.2374,0.0162,0.2138,0.0075,952
12,8,0.1194,0.0061,0.1034,0.0099,627
12,8,0.2603,0.0170,0.2309,0.0124,1188
12,8,0.2213,0.0144,0.1980,0.0089,978
12,8,0.1523,0.0092,0.1363,0.0068,669
12,8,0.1772,0.0113,0.1570,0.0088,964
12,8,0.1452,0.0077,0.1223,0.0152,631
12,8,0.1312,0.0072,0.1180,0.0060,802
12,8,0.4019,0.0279,0.3560,0.0179,1277
12,8,0.5545,0.0396,0.5012,0.0138,1474
14,8,0.2769,0.0168,0.2450,0.0152,695
14,8,0.1263,0.0063,0.1208,-0.0007,569
14,8,0.5022,0.0321,0.4502,0.0199,1397
14,8,0.2200,0.0134,0.1983,0.0083,818
14,8,0.1940,0.0100,0.1693,0.0148,903
14,8,0.3285,0.0207,0.2959,0.0119,1004
14,8,0.1860,0.0092,0.1639,0.0128,806
14,8,0.1983,0.0109,0.1808,0.0066,796
14,8,0.2764,0.0167,0.2516,0.0081,1041
14,8,0.3477,0.0221,0.3124,0.0132,945
14,8,0.2556,0.0150,0.2283,0.0122,1019
14,8,0.5997,0.0378,0.5363,0.0255,1427
14,8,0.4956,0.0319,0.4494,0.0143,1115
14,8,0.3439,0.0217,0.3090,0.0132,1245
14,8,0.1919,0.0099,0.1725,0.0095,819
14,8,0.2502,0.0139,0.2283,0.0080,1051
14,8,0.2955,0.0186,0.2606,0.0163,833
14,8,0.3470,0.0213,0.3172,0.0085,1185
14,8,0.3172,0.0181,0.2831,0.0160,734
14,8,0.4633,0.0294,0.4133,0.0206,1602
14,8,0.3026,0.0186,0.2679,0.0161,925
14,8,0.2605,0.0157,0.2384,0.0064,682
14,8,0.2804,0.0179,0.2511,0.0114,1056
14,8,0.2195,0.0122,0.1934,0.0140,886
14,8,0.3676,0.0236,0.3350,0.0089,874
14,8,0.2270,0.0131,0.2064,0.0076,848
14,8,0.3156,0.0185,0.2864,0.0107,1322
14,8,0.1947,0.0095,0.1754,0.0098,966
14,8,0.2167,0.0117,0.1938,0.0113,869
14,8,0.3428,0.0205,0.3053,0.0170,1055
16,8,0.2706,0.0146,0.2415,0.0146,884
16,8,0.4089,0.0252,0.3673,0.0163,1060
16,8,0.4772,0.0295,0.4264,0.0213,1344
16,8,0.4235,0.0258,0.3813,0.0165,1163
16,8,0.3270,0.0193,0.2830,0.0248,847
16,8,0.3493,0.0211,0.3078,0.0203,1030
16,8,0.3348,0.0190,0.2926,0.0231,1013
16,8,0.2057,0.0102,0.1831,0.0124,755
16,8,0.2639,0.0137,0.2353,0.0149,678
16,8,0.2939,0.0175,0.2571,0.0193,1123
16,8,0.4410,0.0281,0.3974,0.0156,1204
16,8,0.5281,0.0330,0.4764,0.0187,1337
16,8,0.3652,0.0196,0.3217,0.0240,1047
16,8,0.2535,0.0125,0.2232,0.0179,828
16,8,0.2270,0.0112,0.1930,0.0228,916
16,8,0.3554,0.0207,0.3119,0.0228,926
16,8,0.3963,0.0247,0.3523,0.0193,1012
16,8,0.2794,0.0161,0.2448,0.0185,1126
16,8,0.3947,0.0232,0.3538,0.0176,1351
16,8,0.3194,0.0184,0.2820,0.0190,1004
16,8,0.3747,0.0229,0.3370,0.0148,1297
16,8,0.3676,0.0226,0.3231,0.0220,1375
16,8,0.2337,0.0117,0.2102,0.0119,709
16,8,0.4121,0.0255,0.3704,0.0163,1396
16,8,0.3009,0.0167,0.2634,0.0208,714
16,8,0.2571,0.0134,0.2238,0.0198,754
16,8,0.4969,0.0305,0.4490,0.0174,1199
16,8,0.6323,0.0388,0.5669,0.0267,1390
16,8,0.3935,0.0231,0.3503,0.0201,1178
16,8,0.3949,0.0228,0.3537,0.0184,1049
18,8,0.3719,0.0186,0.3362,0.0171,743
18,8,0.6664,0.0362,0.5864,0.0437,1312
18,8,0.2055,0.0061,0.1812,0.0181,791
18,8,0.5774,0.0306,0.5103,0.0365,1184
18,8,0.4732,0.0243,0.4213,0.0276,966
18,8,0.6926,0.0393,0.6220,0.0313,1186
18,8,0.7973,0.0437,0.6894,0.0642,1042
18,8,0.4181,0.0221,0.3733,0.0228,1014
18,8,0.3512,0.0163,0.3182,0.0167,997
18,8,0.3597,0.0171,0.3227,0.0198,998
18,8,0.3909,0.0197,0.3515,0.0196,880
18,8,0.8262,0.0457,0.7436,0.0370,1648
18,8,0.4556,0.0235,0.4111,0.0210,882
18,8,0.3191,0.0147,0.2875,0.0168,771
18,8,0.6548,0.0359,0.5659,0.0531,1031
18,8,0.3723,0.0178,0.3306,0.0239,1131
18,8,0.2967,0.0131,0.2564,0.0272,749
18,8,0.5326,0.0293,0.4761,0.0273,1062
18,8,0.5157,0.0278,0.4644,0.0236,1312
18,8,0.5483,0.0293,0.4853,0.0337,1226
18,8,0.5137,0.0280,0.4566,0.0291,1412
18,8,0.4234,0.0219,0.3808,0.0206,909
18,8,0.2706,0.0115,0.2435,0.0157,951
18,8,0.4063,0.0205,0.3630,0.0228,1045
18,8,0.4175,0.0221,0.3735,0.0219,1176
18,8,0.4988,0.0258,0.4515,0.0215,1168
18,8,0.2358,0.0092,0.2107,0.0160,645
18,8,0.4533,0.0241,0.4093,0.0199,1071
18,8,0.8598,0.0493,0.7610,0.0495,1365
18,8,0.7312,0.0398,0.6558,0.0356,1294
20,8,0.6604,0.0328,0.5899,0.0377,1266
20,8,0.3770,0.0155,0.3428,0.0187,783
20,8,0.6017,0.0288,0.5329,0.0400,1219
20,8,0.5546,0.0267,0.4781,0.0497,1326
20,8,0.2693,0.0084,0.2345,0.0264,780
20,8,0.3187,0.0117,0.2747,0.0323,699
20,8,0.4983,0.0236,0.4455,0.0292,1125
20,8,0.2945,0.0112,0.2629,0.0204,749
20,8,0.5277,0.0257,0.4651,0.0369,1168
20,8,0.5438,0.0252,0.4803,0.0384,1010
20,8,0.4716,0.0218,0.4208,0.0289,904
20,8,0.5098,0.0219,0.4464,0.0414,1228
20,8,0.2705,0.0086,0.2395,0.0225,570
20,8,0.5287,0.0243,0.4783,0.0261,962
20,8,0.4911,0.0237,0.4296,0.0378,1275
20,8,0.6828,0.0339,0.5946,0.0543,1435
20,8,0.2238,0.0041,0.1972,0.0225,634
20,8,0.2732,0.0085,0.2486,0.0160,635
20,8,0.4070,0.0177,0.3606,0.0287,814
20,8,0.3309,0.0144,0.2954,0.0211,976
20,8,0.2285,0.0055,0.2038,0.0192,645
20,8,0.4184,0.0195,0.3744,0.0245,1292
20,8,0.4782,0.0221,0.4173,0.0388,990
20,8,0.3421,0.0135,0.3049,0.0237,1017
20,8,0.5176,0.0250,0.4562,0.0364,1104
20,8,0.5435,0.0257,0.4872,0.0306,1057
20,8,0.5902,0.0280,0.5165,0.0458,1314
20,8,0.3326,0.0119,0.2875,0.0332,873
20,8,0.3924,0.0185,0.3495,0.0245,1158
20,8,0.3421,0.0135,0.2936,0.0351,1150
22,8,0.3566,0.0104,0.3185,0.0277,905
22,8,0.3194,0.0091,0.2800,0.0303,804
22,8,0.3531,0.0109,0.3160,0.0261,687
22,8,0.3386,0.0107,0.2955,0.0324,1038
22,8,0.4060,0.0141,0.3747,0.0172,684
22,8,0.4300,0.0163,0.4010,0.0128,581
22,8,0.5784,0.0229,0.5153,0.0402,1275
22,8,0.5908,0.0249,0.5283,0.0375,1033
22,8,0.4305,0.0170,0.3737,0.0398,1038
22,8,0.5218,0.0210,0.4664,0.0343,1102
22,8,0.4880,0.0201,0.4289,0.0391,1234
22,8,0.9297,0.0424,0.8249,0.0624,1053
22,8,0.5884,0.0241,0.5253,0.0390,1007
22,8,0.4430,0.0172,0.3780,0.0478,967
22,8,0.3892,0.0126,0.3384,0.0382,1077
22,8,0.4428,0.0176,0.3830,0.0421,709
22,8,0.3139,0.0090,0.2689,0.0360,506
22,8,0.5041,0.0197,0.4518,0.0326,972
22,8,0.6323,0.0259,0.5528,0.0536,1278
22,8,0.7357,0.0336,0.6508,0.0513,1387
22,8,0.4633,0.0179,0.4019,0.0436,866
22,8,0.6141,0.0272,0.5482,0.0387,1125
22,8,0.4844,0.0199,0.4375,0.0269,982
22,8,0.4119,0.0147,0.3599,0.0373,986
22,8,0.4775,0.0189,0.4191,0.0396,728
22,8,0.5399,0.0229,0.4790,0.0379,1127
22,8,0.2877,0.0073,0.2539,0.0265,474
22,8,0.5005,0.0208,0.4453,0.0344,829
22,8,0.6792,0.0307,0.5947,0.0538,1311
22,8,0.7518,0.0341,0.6724,0.0453,1195
24,8,0.4628,0.0153,0.4260,0.0214,647
24,8,0.6779,0.0262,0.5838,0.0679,972
24,8,0.4503,0.0153,0.3887,0.0463,854
24,8,0.5176,0.0189,0.4442,0.0545,1092
24,8,0.6343,0.0259,0.5522,0.0562,1271
24,8,0.4301,0.0136,0.3947,0.0218,782
24,8,0.4370,0.0133,0.3759,0.0478,780
24,8,0.4299,0.0124,0.4095,0.0079,945
24,8,0.9876,0.0444,0.8601,0.0832,1440
24,8,0.3687,0.0082,0.3177,0.0428,832
24,8,0.8843,0.0381,0.7836,0.0626,1138
24,8,0.7253,0.0313,0.6461,0.0479,1117
24,8,0.9115,0.0379,0.7863,0.0874,1311
24,8,0.6532,0.0268,0.5862,0.0402,1219
24,8,0.4850,0.0162,0.4319,0.0369,794
24,8,0.7273,0.0329,0.6487,0.0458,1204
24,8,0.5096,0.0187,0.4467,0.0442,1157
24,8,0.4415,0.0135,0.3912,0.0368,612
24,8,0.8470,0.0370,0.7344,0.0756,1029
24,8,1.0438,0.0447,0.9195,0.0795,1197
24,8,0.5100,0.0185,0.4456,0.0458,1157
24,8,0.8600,0.0364,0.7416,0.0821,1195
24,8,0.5544,0.0211,0.5002,0.0331,1103
24,8,0.7914,0.0322,0.7143,0.0449,1184
24,8,0.7075,0.0284,0.6104,0.0687,1105
24,8,0.7758,0.0341,0.6853,0.0564,1628
24,8,0.4902,0.0182,0.4241,0.0479,1025
24,8,0.3872,0.0094,0.3515,0.0264,548
24,8,0.4455,0.0140,0.4070,0.0246,1051
24,8,0.5359,0.0191,0.4612,0.0556,896
26,8,1.0164,0.0367,0.9030,0.0767,1096
26,8,0.8361,0.0314,0.7389,0.0657,1017
26,8,0.6258,0.0207,0.5460,0.0592,941
26,8,0.5967,0.0195,0.5166,0.0606,838
26,8,0.6150,0.0199,0.5350,0.0600,961
26,8,0.7095,0.0268,0.6579,0.0247,1323
26,8,0.6150,0.0219,0.5416,0.0515,1007
26,8,0.4729,0.0126,0.4157,0.0446,955
26,8,0.4794,0.0132,0.4549,0.0114,800
26,8,0.8463,0.0335,0.7404,0.0724,1269
26,8,0.8087,0.0314,0.7133,0.0640,1224
26,8,0.7365,0.0273,0.6801,0.0291,1376
26,8,0.5813,0.0192,0.5237,0.0384,683
26,8,0.4057,0.0081,0.3567,0.0409,831
26,8,0.7464,0.0278,0.6839,0.0348,1022
26,8,0.7123,0.0273,0.6470,0.0380,1290
26,8,0.5663,0.0186,0.5386,0.0090,747
26,8,0.5036,0.0145,0.4379,0.0512,1199
26,8,0.6277,0.0231,0.5898,0.0148,1336
26,8,0.6993,0.0271,0.6178,0.0544,912
26,8,0.4676,0.0129,0.4434,0.0113,715
26,8,0.8214,0.0312,0.7361,0.0541,1209
26,8,0.7637,0.0280,0.6584,0.0772,1081
26,8,0.8738,0.0355,0.7555,0.0828,1307
26,8,0.5584,0.0190,0.5268,0.0126,769
26,8,0.6673,0.0259,0.5991,0.0424,1135
26,8,0.4827,0.0126,0.4534,0.0167,611
26,8,0.5941,0.0199,0.5166,0.0576,769
26,8,0.6812,0.0251,0.6418,0.0144,1064
26,8,0.4996,0.0139,0.4740,0.0118,802
28,8,0.5325,0.0129,0.4973,0.0223,692
28,8,0.6151,0.0185,0.5637,0.0328,745
28,8,0.5410,0.0125,0.5063,0.0223,855
28,8,0.6108,0.0184,0.5417,0.0508,1195
28,8,0.6139,0.0172,0.5453,0.0514,999
28,8,0.5690,0.0148,0.5271,0.0270,1042
28,8,0.6773,0.0204,0.6081,0.0487,964
28,8,0.5689,0.0161,0.4973,0.0555,986
28,8,0.7179,0.0243,0.6380,0.0557,1139
28,8,0.5743,0.0164,0.5450,0.0130,861
28,8,1.0270,0.0381,0.8800,0.1090,1288
28,8,0.6159,0.0187,0.5377,0.0595,943
28,8,0.5712,0.0143,0.5441,0.0128,713
28,8,0.9836,0.0369,0.8568,0.0899,1100
28,8,0.6437,0.0200,0.5668,0.0569,1152
28,8,0.8977,0.0311,0.7884,0.0781,1384
28,8,0.7339,0.0232,0.6400,0.0708,789
28,8,0.7863,0.0242,0.6990,0.0631,978
28,8,0.9641,0.0336,0.8449,0.0856,1187
28,8,0.4979,0.0109,0.4555,0.0314,886
28,8,1.1634,0.0433,1.0200,0.1001,1360
28,8,1.0437,0.0367,0.9034,0.1036,1265
28,8,0.8751,0.0308,0.7837,0.0606,796
28,8,0.5849,0.0165,0.5451,0.0233,945
28,8,0.7948,0.0274,0.6861,0.0813,1038
28,8,0.6770,0.0214,0.6182,0.0374,1314
28,8,1.0724,0.0387,0.9518,0.0819,1238
28,8,0.6747,0.0201,0.6253,0.0294,974
28,8,0.7066,0.0247,0.6184,0.0636,1278
28,8,0.9734,0.0345,0.8689,0.0699,1275
30,8,0.7114,0.0193,0.6161,0.0761,1030
30,8,0.7166,0.0183,0.6366,0.0617,454
30,8,0.6674,0.0176,0.6131,0.0367,642
30,8,0.4813,0.0058,0.4494,0.0261,539
30,8,0.6247,0.0144,0.5646,0.0457,840
30,8,0.9789,0.0309,0.8743,0.0736,1203
30,8,0.7169,0.0205,0.6493,0.0472,968
30,8,0.8933,0.0258,0.8137,0.0538,991
30,8,0.5057,0.0063,0.4582,0.0412,752
30,8,0.6690,0.0168,0.6338,0.0184,974
30,8,1.0604,0.0360,0.9341,0.0903,1192
30,8,0.7541,0.0212,0.6942,0.0387,1272
30,8,0.9982,0.0323,0.8969,0.0690,1386
30,8,1.0229,0.0349,0.9005,0.0875,1328
30,8,0.7034,0.0183,0.6243,0.0608,972
30,8,0.6453,0.0171,0.5688,0.0595,1023
30,8,1.0415,0.0348,0.9121,0.0946,1363
30,8,0.6474,0.0169,0.6172,0.0133,968
30,8,0.9475,0.0306,0.8486,0.0683,1160
30,8,0.6950,0.0185,0.6386,0.0379,949
30,8,0.5657,0.0121,0.5035,0.0500,899
30,8,0.5468,0.0077,0.4835,0.0556,711
30,8,1.2567,0.0432,1.1025,0.1110,1499
30,8,0.6829,0.0197,0.6105,0.0527,983
30,8,0.6074,0.0137,0.5619,0.0317,829
30,8,0.7812,0.0218,0.7020,0.0574,963
30,8,0.8855,0.0279,0.7811,0.0765,1306
30,8,0.9044,0.0272,0.8033,0.0739,1242
30,8,0.8079,0.0255,0.7006,0.0818,929
30,8,0.7521,0.0207,0.6887,0.0427,901
32,8,1.2093,0.0370,1.0962,0.0762,1311
32,8,0.7210,0.0184,0.6509,0.0517,915
32,8,0.8327,0.0223,0.7721,0.0383,608
32,8,0.6785,0.0165,0.5980,0.0640,784
32,8,1.0751,0.0324,0.9680,0.0747,1053
32,8,1.3335,0.0414,1.1821,0.1100,1262
32,8,0.8559,0.0251,0.7568,0.0741,1179
32,8,1.2720,0.0400,1.1167,0.1153,1200
32,8,1.1187,0.0347,0.9952,0.0889,1196
32,8,0.9842,0.0280,0.8592,0.0970,964
32,8,0.6275,0.0112,0.5945,0.0218,674
32,8,0.6319,0.0113,0.5878,0.0329,762
32,8,1.2360,0.0384,1.1237,0.0738,1253
32,8,0.5604,0.0081,0.5270,0.0252,754
32,8,0.6807,0.0149,0.6477,0.0181,818
32,8,1.0792,0.0321,0.9881,0.0589,975
32,8,0.6665,0.0150,0.5950,0.0565,1053
32,8,0.8805,0.0238,0.8378,0.0190,1125
32,8,0.7634,0.0205,0.7141,0.0289,1234
32,8,0.7039,0.0160,0.6600,0.0280,944
32,8,0.9197,0.0264,0.7922,0.1011,1270
32,8,0.8276,0.0217,0.7438,0.0620,1067
32,8,0.7377,0.0189,0.6953,0.0235,776
32,8,0.7289,0.0183,0.6456,0.0650,1024
32,8,0.7298,0.0173,0.6474,0.0651,883
32,8,0.9858,0.0312,0.8868,0.0678,1236
32,8,0.8385,0.0243,0.7859,0.0283,1191
32,8,0.7546,0.0198,0.7063,0.0285,1301
32,8,0.6457,0.0136,0.6040,0.0281,788
32,8,0.6327,0.0125,0.5702,0.0501,789
2,10,0.1238,0.1195,0.0020,0.0023,852
2,10,0.2661,0.2572,0.0028,0.0061,856
2,10,0.2151,0.2078,0.0025,0.0048,1131
2,10,0.1456,0.1424,0.0026,0.0006,710
2,10,0.1019,0.0971,0.0019,0.0029,619
2,10,0.4239,0.4115,0.0028,0.0096,1162
2,10,0.2486,0.1937,0.0584,-0.0034,774
2,10,0.1341,0.1292,0.0017,0.0031,547
2,10,0.3138,0.3047,0.0028,0.0063,1026
2,10,0.5817,0.4548,0.1344,-0.0074,1172
2,10,0.2523,0.2419,0.0037,0.0068,789
2,10,0.2169,0.2100,0.0023,0.0045,831
2,10,0.2497,0.2394,0.0039,0.0064,1227
2,10,0.1319,0.1279,0.0025,0.0015,740
2,10,0.3276,0.3220,0.0037,0.0019,1219
2,10,0.0929,0.0890,0.0014,0.0024,780
2,10,0.2396,0.2040,0.0359,-0.0003,932
2,10,0.2557,0.2452,0.0036,0.0070,997
2,10,0.1272,0.1230,0.0016,0.0026,724
2,10,0.2357,0.1849,0.0555,-0.0048,979
2,10,1.1205,0.9535,0.1685,-0.0015,1388
2,10,1.5259,1.4053,0.1182,0.0023,1728
2,10,0.2992,0.2882,0.0029,0.0081,1145
