p,n,total_time,comp_time,comm_time,overhead,cost
4,6,0.0053,0.0008,0.0045,-0.0000,806
4,6,0.0066,0.0012,0.0057,-0.0003,1065
6,6,0.0207,0.0011,0.0147,0.0049,827
6,6,0.0210,0.0013,0.0196,0.0001,1172
6,6,0.0218,0.0013,0.0204,0.0001,877
6,6,0.0258,0.0015,0.0240,0.0003,1339
6,6,0.0263,0.0014,0.0246,0.0003,1433
6,6,0.0311,0.0017,0.0290,0.0004,1425
6,6,0.0203,0.0010,0.0190,0.0003,873
6,6,0.0207,0.0010,0.0193,0.0003,1024
6,6,0.0204,0.0008,0.0190,0.0006,1031
6,6,0.0317,0.0016,0.0251,0.0050,1228
6,6,0.0206,0.0011,0.0193,0.0003,875
6,6,0.0208,0.0013,0.0194,0.0000,840
6,6,0.0114,0.0007,0.0106,0.0002,786
6,6,0.0208,0.0009,0.0195,0.0004,1026
6,6,0.0209,0.0010,0.0195,0.0004,809
6,6,0.0206,0.0010,0.0192,0.0004,1185
6,6,0.0163,0.0007,0.0153,0.0003,609
6,6,0.0113,0.0007,0.0105,0.0000,549
6,6,0.0155,0.0010,0.0144,0.0001,803
6,6,0.0159,0.0007,0.0150,0.0002,629
6,6,0.0207,0.0014,0.0192,0.0000,979
6,6,0.0259,0.0012,0.0244,0.0003,1170
6,6,0.0207,0.0013,0.0193,0.0002,898
6,6,0.0162,0.0010,0.0151,0.0001,902
6,6,0.0266,0.0016,0.0248,0.0001,906
6,6,0.0205,0.0010,0.0191,0.0004,1184
6,6,0.0208,0.0011,0.0195,0.0002,950
6,6,0.0263,0.0015,0.0247,0.0001,1030
6,6,0.0210,0.0012,0.0196,0.0003,1299
6,6,0.0259,0.0013,0.0242,0.0003,1223
8,6,0.0468,0.0015,0.0442,0.0012,1361
8,6,0.0357,0.0007,0.0345,0.0004,743
8,6,0.0361,0.0008,0.0330,0.0023,943
8,6,0.0417,0.0011,0.0386,0.0020,1025
8,6,0.0422,0.0011,0.0388,0.0023,1180
8,6,0.0472,0.0017,0.0437,0.0019,1121
8,6,0.0480,0.0013,0.0445,0.0022,1004
8,6,0.0361,0.0007,0.0336,0.0018,707
